,Date and time,Temperature,Description
0,2017-11-01 00:00:00,276.150,broken clouds
1,2017-11-01 01:00:00,275.700,scattered clouds
2,2017-11-01 02:00:00,275.610,overcast clouds
3,2017-11-01 03:00:00,275.350,broken clouds
4,2017-11-01 04:00:00,275.240,broken clouds
5,2017-11-01 05:00:00,275.050,overcast clouds
6,2017-11-01 06:00:00,275.140,overcast clouds
7,2017-11-01 07:00:00,275.230,overcast clouds
8,2017-11-01 08:00:00,275.230,overcast clouds
9,2017-11-01 09:00:00,275.320,overcast clouds
10,2017-11-01 10:00:00,275.230,overcast clouds
11,2017-11-01 11:00:00,275.510,overcast clouds
12,2017-11-01 12:00:00,275.690,overcast clouds
13,2017-11-01 13:00:00,275.790,overcast clouds
14,2017-11-01 14:00:00,275.850,broken clouds
15,2017-11-01 15:00:00,276.600,broken clouds
16,2017-11-01 16:00:00,277.540,sky is clear
17,2017-11-01 17:00:00,278.320,overcast clouds
18,2017-11-01 18:00:00,279.350,overcast clouds
19,2017-11-01 19:00:00,279.520,overcast clouds
20,2017-11-01 20:00:00,279.700,overcast clouds
21,2017-11-01 21:00:00,279.340,mist
22,2017-11-01 22:00:00,278.930,mist
23,2017-11-01 23:00:00,278.510,mist
24,2017-11-02 00:00:00,278.320,mist
25,2017-11-02 01:00:00,278.420,mist
26,2017-11-02 02:00:00,278.850,drizzle
27,2017-11-02 03:00:00,279.060,light rain
28,2017-11-02 04:00:00,279.550,light rain
29,2017-11-02 05:00:00,279.750,light rain
30,2017-11-02 06:00:00,280.350,light rain
31,2017-11-02 07:00:00,280.600,moderate rain
32,2017-11-02 08:00:00,280.840,fog
33,2017-11-02 09:00:00,281.130,fog
34,2017-11-02 10:00:00,281.340,fog
35,2017-11-02 11:00:00,281.540,fog
36,2017-11-02 12:00:00,281.440,light rain
37,2017-11-02 13:00:00,281.940,fog
38,2017-11-02 14:00:00,281.920,fog
39,2017-11-02 15:00:00,282.340,light intensity drizzle
40,2017-11-02 16:00:00,282.540,light intensity drizzle
41,2017-11-02 17:00:00,283.330,mist
42,2017-11-02 18:00:00,283.630,mist
43,2017-11-02 19:00:00,283.540,light intensity drizzle
44,2017-11-02 20:00:00,283.250,moderate rain
45,2017-11-02 21:00:00,282.940,light rain
46,2017-11-02 22:00:00,283.040,drizzle
47,2017-11-02 23:00:00,282.840,drizzle
48,2017-11-03 00:00:00,282.680,moderate rain
49,2017-11-03 01:00:00,282.410,mist
50,2017-11-03 02:00:00,282.030,mist
51,2017-11-03 03:00:00,282.040,mist
52,2017-11-03 04:00:00,282.040,mist
53,2017-11-03 05:00:00,281.650,mist
54,2017-11-03 06:00:00,281.140,mist
55,2017-11-03 07:00:00,280.960,mist
56,2017-11-03 08:00:00,280.590,mist
57,2017-11-03 09:00:00,279.960,mist
58,2017-11-03 10:00:00,278.850,mist
59,2017-11-03 11:00:00,278.220,overcast clouds
60,2017-11-03 12:00:00,277.680,overcast clouds
61,2017-11-03 13:00:00,277.320,overcast clouds
62,2017-11-03 14:00:00,277.680,mist
63,2017-11-03 15:00:00,278.320,overcast clouds
64,2017-11-03 16:00:00,279.120,overcast clouds
65,2017-11-03 17:00:00,279.710,overcast clouds
66,2017-11-03 18:00:00,280.860,overcast clouds
67,2017-11-03 19:00:00,281.300,overcast clouds
68,2017-11-03 20:00:00,281.780,overcast clouds
69,2017-11-03 21:00:00,282.140,broken clouds
70,2017-11-03 22:00:00,281.640,broken clouds
71,2017-11-03 23:00:00,281.040,broken clouds
72,2017-11-04 00:00:00,280.690,broken clouds
73,2017-11-04 01:00:00,279.950,broken clouds
74,2017-11-04 02:00:00,280.040,scattered clouds
75,2017-11-04 03:00:00,279.670,few clouds
76,2017-11-04 04:00:00,279.680,sky is clear
77,2017-11-04 05:00:00,279.590,sky is clear
78,2017-11-04 06:00:00,279.410,sky is clear
79,2017-11-04 07:00:00,279.060,sky is clear
80,2017-11-04 08:00:00,278.880,sky is clear
81,2017-11-04 09:00:00,279.340,sky is clear
82,2017-11-04 10:00:00,279.860,sky is clear
83,2017-11-04 11:00:00,280.160,broken clouds
84,2017-11-04 12:00:00,280.150,mist
85,2017-11-04 13:00:00,279.750,mist
86,2017-11-04 14:00:00,279.850,light intensity drizzle
87,2017-11-04 15:00:00,279.750,mist
88,2017-11-04 16:00:00,279.780,thunderstorm with drizzle
89,2017-11-04 17:00:00,280.450,proximity thunderstorm
90,2017-11-04 18:00:00,280.690,light rain
91,2017-11-04 19:00:00,280.790,mist
92,2017-11-04 20:00:00,281.150,mist
93,2017-11-04 21:00:00,281.150,mist
94,2017-11-04 22:00:00,281.600,mist
95,2017-11-04 23:00:00,281.870,fog
96,2017-11-05 00:00:00,282.140,mist
97,2017-11-05 01:00:00,282.240,moderate rain
98,2017-11-05 02:00:00,282.770,fog
99,2017-11-05 03:00:00,283.230,fog
100,2017-11-05 04:00:00,283.250,light rain
101,2017-11-05 05:00:00,283.420,moderate rain
102,2017-11-05 06:00:00,283.230,fog
103,2017-11-05 07:00:00,283.330,fog
104,2017-11-05 08:00:00,283.240,light intensity drizzle
105,2017-11-05 09:00:00,283.250,fog
106,2017-11-05 10:00:00,283.150,fog
107,2017-11-05 11:00:00,283.140,fog
108,2017-11-05 12:00:00,283.140,fog
109,2017-11-05 13:00:00,283.040,drizzle
110,2017-11-05 14:00:00,283.050,moderate rain
111,2017-11-05 15:00:00,283.490,fog
112,2017-11-05 16:00:00,283.510,proximity thunderstorm
113,2017-11-05 17:00:00,283.440,light intensity drizzle
114,2017-11-05 18:00:00,283.880,proximity thunderstorm with rain
115,2017-11-05 19:00:00,283.440,proximity thunderstorm
116,2017-11-05 20:00:00,284.050,light rain
117,2017-11-05 21:00:00,283.880,mist
118,2017-11-05 22:00:00,283.780,mist
119,2017-11-05 23:00:00,283.750,overcast clouds
120,2017-11-06 00:00:00,283.510,overcast clouds
121,2017-11-06 01:00:00,283.150,overcast clouds
122,2017-11-06 02:00:00,283.150,overcast clouds
123,2017-11-06 03:00:00,282.790,overcast clouds
124,2017-11-06 04:00:00,282.600,overcast clouds
125,2017-11-06 05:00:00,281.780,overcast clouds
126,2017-11-06 06:00:00,280.960,overcast clouds
127,2017-11-06 07:00:00,279.510,overcast clouds
128,2017-11-06 08:00:00,277.620,overcast clouds
129,2017-11-06 09:00:00,277.230,broken clouds
130,2017-11-06 10:00:00,276.140,overcast clouds
131,2017-11-06 11:00:00,275.110,broken clouds
132,2017-11-06 12:00:00,274.670,overcast clouds
133,2017-11-06 13:00:00,273.910,overcast clouds
134,2017-11-06 14:00:00,273.510,broken clouds
135,2017-11-06 15:00:00,274.910,broken clouds
136,2017-11-06 16:00:00,276.010,broken clouds
137,2017-11-06 17:00:00,277.760,broken clouds
138,2017-11-06 18:00:00,278.320,broken clouds
139,2017-11-06 19:00:00,278.320,broken clouds
140,2017-11-06 20:00:00,278.330,broken clouds
141,2017-11-06 21:00:00,278.140,sky is clear
142,2017-11-06 22:00:00,278.820,broken clouds
143,2017-11-06 23:00:00,277.700,broken clouds
144,2017-11-07 00:00:00,277.150,scattered clouds
145,2017-11-07 01:00:00,277.050,broken clouds
146,2017-11-07 02:00:00,277.240,overcast clouds
147,2017-11-07 03:00:00,277.240,overcast clouds
148,2017-11-07 04:00:00,277.630,broken clouds
149,2017-11-07 05:00:00,277.490,overcast clouds
150,2017-11-07 06:00:00,277.400,overcast clouds
151,2017-11-07 07:00:00,277.490,broken clouds
152,2017-11-07 08:00:00,277.210,overcast clouds
153,2017-11-07 09:00:00,277.040,scattered clouds
154,2017-11-07 10:00:00,276.040,broken clouds
155,2017-11-07 11:00:00,275.630,overcast clouds
156,2017-11-07 12:00:00,275.330,overcast clouds
157,2017-11-07 13:00:00,275.330,overcast clouds
158,2017-11-07 14:00:00,276.490,overcast clouds
159,2017-11-07 15:00:00,277.750,broken clouds
160,2017-11-07 16:00:00,279.590,overcast clouds
161,2017-11-07 17:00:00,280.050,broken clouds
162,2017-11-07 18:00:00,280.540,broken clouds
163,2017-11-07 19:00:00,280.240,broken clouds
164,2017-11-07 20:00:00,280.340,scattered clouds
